TIMESTAMP,UMIDADE_DHT,LDR_VALOR,N_PRESENTE,P_PRESENTE,K_PRESENTE,BLOQUEIO_EXTERNO,RELAY_STATUS,UMIDADE_BAIXA,NPK_OK,PH_OK
1704078000,52.92,2043,0,0,0,0,0,1,0,1
1704081600,59.07,1552,0,0,0,0,0,1,0,1
1704085200,52.42,1822,0,0,0,0,0,1,0,1
1704088800,60.22,2012,0,0,0,0,0,0,0,1
1704092400,58.35,2126,0,0,0,0,0,1,0,1
1704096000,72.43,1946,0,0,0,0,0,0,0,1
1704099600,73.76,2223,0,0,0,0,0,0,0,1
1704103200,71.54,1846,0,0,0,0,0,0,0,1
1704106800,81.92,1559,0,0,0,0,0,0,0,1
1704110400,76.58,1866,0,0,0,0,0,0,0,1
1704114000,87.37,1898,0,0,0,0,0,0,0,1
1704117600,79.22,2106,0,0,0,0,0,0,0,1
1704121200,79.67,2637,0,0,0,0,0,0,0,0
1704124800,92.33,2007,0,0,0,0,0,0,0,1
1704128400,84.92,2046,0,0,0,0,0,0,0,1
1704132000,82.7,1584,0,0,0,0,0,0,0,1
1704135600,70.02,2482,0,0,0,0,0,0,0,1
1704139200,77.93,1657,0,0,0,0,0,0,0,1
1704142800,67.97,2272,0,0,0,0,0,0,0,1
1704146400,65.37,2056,0,0,0,0,0,0,0,1
1704150000,51.43,2516,0,0,0,0,0,1,0,0
1704153600,59.84,1943,0,0,0,0,0,1,0,1
1704157200,52.08,2090,0,0,0,0,0,1,0,1
1704160800,58.87,2223,0,0,0,1,0,1,0,1
1704164400,62.15,1983,0,0,0,0,0,0,0,1
1704168000,60.98,1474,0,0,0,0,0,0,0,0
1704171600,59.93,1908,0,0,0,0,0,1,0,1
1704175200,59.8,1269,0,0,0,0,0,1,0,0
1704178800,62.65,2063,0,0,0,0,0,0,0,1
1704182400,72.46,2539,0,0,0,0,0,0,0,0
1704186000,66.68,1989,0,0,0,0,0,0,0,1
1704189600,66.69,1638,0,0,0,0,0,0,0,1
1704193200,84.73,1851,0,0,0,0,0,0,0,1
1704196800,80.09,2372,0,0,0,0,0,0,0,1
1704200400,83.26,2225,0,0,0,0,0,0,0,1
1704204000,89.39,1885,0,0,0,0,0,0,0,1
1704207600,81.0,1907,0,0,0,0,0,0,0,1
1704211200,83.91,2186,0,0,0,0,0,0,0,1
1704214800,80.01,1773,0,0,0,1,0,0,0,1
1704218400,79.95,1843,0,0,0,1,0,0,0,1
1704222000,73.53,1674,0,0,0,0,0,0,0,1
1704225600,72.65,2411,0,0,0,0,0,0,0,1
1704229200,62.78,2431,0,0,0,0,0,0,0,1
1704232800,63.87,1696,0,0,0,0,0,0,0,1
1704236400,63.23,2109,0,0,0,0,0,0,0,1
1704240000,61.76,2255,0,0,0,0,0,0,0,1
1704243600,47.19,1764,0,0,0,0,0,1,0,1
1704247200,62.64,2005,0,0,0,0,0,0,0,1
1704250800,59.03,2070,0,0,0,0,0,1,0,1
1704254400,57.15,2148,0,0,0,0,0,1,0,1
1704258000,54.78,2244,0,0,0,0,0,1,0,1
1704261600,63.26,1646,0,0,0,0,0,0,0,1
1704265200,62.99,1807,0,0,0,0,0,0,0,1
1704268800,67.05,1875,0,0,0,0,0,0,0,1
1704272400,67.15,2178,0,0,0,0,0,0,0,1
1704276000,74.54,1652,0,0,0,0,0,0,0,1
1704279600,71.99,2244,0,0,0,0,0,0,0,1
1704283200,76.12,2005,0,0,0,0,0,0,0,1
1704286800,80.74,1579,0,0,0,0,0,0,0,1
1704290400,80.9,1930,0,0,0,0,0,0,0,1
1704294000,80.85,1918,0,0,0,0,0,0,0,1
1704297600,92.81,2224,0,0,0,0,0,0,0,1
1704301200,78.5,2224,0,0,0,0,0,0,0,1
1704304800,79.8,2039,0,0,0,0,0,0,0,1
1704308400,80.59,1499,0,0,0,0,0,0,0,0
1704312000,76.55,2000,0,0,0,0,0,0,0,1
1704315600,69.44,1937,0,0,0,0,0,0,0,1
1704319200,67.96,1983,0,0,0,0,0,0,0,1
1704322800,60.04,2158,0,0,0,0,0,0,0,1
1704326400,68.07,1586,0,0,0,0,0,0,0,1
1704330000,56.7,1729,0,0,0,0,0,1,0,1
1704333600,52.37,1853,0,0,0,0,0,1,0,1
1704337200,63.79,1589,0,0,0,0,0,0,0,1
1704340800,51.07,1977,0,0,0,1,0,1,0,1
1704344400,54.43,1892,0,0,0,0,0,1,0,1
1704348000,67.81,2121,0,0,0,0,0,0,0,1
1704351600,63.06,2631,0,0,0,0,0,0,0,0
1704355200,59.65,1766,0,0,0,0,0,1,0,1
1704358800,67.67,1689,0,0,0,0,0,0,0,1
1704362400,64.47,2230,0,0,0,0,0,0,0,1
1704366000,77.5,1685,0,0,0,0,0,0,0,1
1704369600,80.58,1954,0,0,0,0,0,0,0,1
1704373200,95.36,1316,0,0,0,0,0,0,0,0
1704376800,81.62,1920,0,0,0,0,0,0,0,1
1704380400,84.95,1875,0,0,0,0,0,0,0,1
1704384000,83.65,2339,0,0,0,0,0,0,0,1
1704387600,88.74,1975,0,0,0,0,0,0,0,1
1704391200,85.24,1709,0,0,0,0,0,0,0,1
1704394800,76.13,2111,0,0,0,1,0,0,0,1
1704398400,78.75,1782,0,0,0,0,0,0,0,1
1704402000,72.65,2358,0,0,0,0,0,0,0,1
1704405600,70.6,2327,0,0,0,0,0,0,0,1
1704409200,59.03,2546,0,0,0,0,0,1,0,0
1704412800,61.94,1925,0,0,0,0,0,0,0,1
1704416400,61.36,1841,0,0,0,0,0,0,0,1
1704420000,59.41,1797,0,0,0,0,0,1,0,1
1704423600,57.83,1866,1,1,1,0,1,1,1,1
1704427200,52.08,1885,1,1,1,0,1,1,1,1
1704430800,53.3,1381,1,1,1,0,0,1,1,0
1704434400,58.85,1843,1,1,1,0,1,1,1,1
1704438000,57.09,2434,1,1,1,1,0,1,1,1
1704441600,63.88,2341,1,1,1,0,0,0,1,1
1704445200,66.64,1375,1,1,1,0,0,0,1,0
1704448800,75.85,1835,1,1,1,0,0,0,1,1
1704452400,74.26,2001,1,1,1,0,0,0,1,1
1704456000,77.38,2034,1,1,1,1,0,0,1,1
1704459600,85.91,2174,1,1,1,0,0,0,1,1
1704463200,88.62,2086,1,1,1,0,0,0,1,1
1704466800,78.69,1898,1,1,1,0,0,0,1,1
1704470400,83.8,2251,1,1,1,0,0,0,1,1
1704474000,76.47,1983,1,1,1,0,0,0,1,1
1704477600,78.49,2561,1,1,1,0,0,0,1,0
1704481200,78.7,1821,1,1,1,0,0,0,1,1
1704484800,73.04,2018,1,1,1,0,0,0,1,1
1704488400,64.22,1426,1,1,1,0,0,0,1,0
1704492000,60.65,1739,1,1,1,0,0,0,1,1
1704495600,61.01,2012,1,1,1,0,0,0,1,1
1704499200,62.5,2103,1,1,1,1,0,0,1,1
1704502800,69.89,1926,1,1,1,0,0,0,1,1
1704506400,55.34,1503,1,1,1,0,1,1,1,1
1704510000,50.63,2180,1,1,1,1,0,1,1,1
1704513600,64.31,1828,1,1,1,0,0,0,1,1
1704517200,50.49,1978,1,1,1,0,1,1,1,1
1704520800,56.53,1974,1,1,1,0,1,1,1,1
1704524400,69.17,2149,1,1,1,0,0,0,1,1
1704528000,67.88,2017,1,1,1,0,0,0,1,1
1704531600,74.37,1746,1,1,1,0,0,0,1,1
1704535200,66.36,2208,1,1,1,0,0,0,1,1
1704538800,76.52,2195,1,1,1,0,0,0,1,1
1704542400,71.76,1816,1,1,1,0,0,0,1,1
1704546000,82.18,1898,1,1,1,0,0,0,1,1
1704549600,93.06,2108,1,1,1,0,0,0,1,1
1704553200,75.68,1968,1,1,1,0,0,0,1,1
1704556800,83.26,2190,1,1,1,0,0,0,1,1
1704560400,87.75,2384,1,1,1,0,0,0,1,1
1704564000,82.85,2083,1,1,1,0,0,0,1,1
1704567600,78.66,1967,1,1,1,0,0,0,1,1
1704571200,70.01,2162,1,1,1,0,0,0,1,1
1704574800,74.65,1944,1,1,1,0,0,0,1,1
1704578400,65.66,1903,1,1,1,0,0,0,1,1
1704582000,58.16,2359,1,1,1,0,1,1,1,1
1704585600,61.81,1847,1,1,1,0,0,0,1,1
1704589200,58.19,1621,1,1,1,0,1,1,1,1
1704592800,48.68,1626,1,1,1,0,1,1,1,1
1704596400,57.95,1442,1,1,1,0,0,1,1,0
1704600000,45.96,1597,1,1,1,0,1,1,1,1
1704603600,55.58,1806,1,1,1,0,1,1,1,1
1704607200,58.92,2005,1,1,1,0,1,1,1,1
1704610800,62.53,2019,1,1,1,0,0,0,1,1
1704614400,68.52,1933,1,1,1,0,0,0,1,1
1704618000,65.47,1886,1,1,1,0,0,0,1,1
1704621600,78.68,2095,1,1,1,1,0,0,1,1
1704625200,79.26,2214,1,1,1,0,0,0,1,1
1704628800,74.31,2114,1,1,1,0,0,0,1,1
1704632400,84.25,2387,1,1,1,0,0,0,1,1
1704636000,83.16,2155,1,1,1,0,0,0,1,1
1704639600,96.73,1573,1,1,1,0,0,0,1,1
1704643200,81.19,2088,1,1,1,0,0,0,1,1
1704646800,80.59,1752,1,1,1,0,0,0,1,1
1704650400,81.72,2076,1,1,1,0,0,0,1,1
1704654000,75.84,2136,1,1,1,0,0,0,1,1
1704657600,67.0,2663,1,1,1,0,0,0,1,0
1704661200,68.07,2618,1,1,1,0,0,0,1,0
1704664800,64.32,1485,1,1,1,0,0,0,1,0
1704668400,66.83,1530,1,1,1,0,0,0,1,1
1704672000,57.02,2416,1,1,1,0,1,1,1,1
1704675600,50.63,2686,1,1,1,0,0,1,1,0
1704679200,56.55,2401,1,1,1,0,1,1,1,1
1704682800,56.31,1846,1,1,1,0,1,1,1,1
1704686400,52.79,1653,1,1,1,0,1,1,1,1
1704690000,51.37,1713,1,1,1,0,1,1,1,1
1704693600,48.18,2253,1,1,1,0,1,1,1,1
1704697200,72.13,2371,1,1,1,0,0,0,1,1
1704700800,65.21,2307,1,1,1,1,0,0,1,1
1704704400,73.3,1669,1,1,1,0,0,0,1,1
1704708000,79.99,1620,1,1,1,0,0,0,1,1
1704711600,70.5,2153,1,1,1,0,0,0,1,1
1704715200,81.11,1941,1,1,1,0,0,0,1,1
1704718800,81.48,2069,1,1,1,0,0,0,1,1
1704722400,85.56,1760,1,1,1,1,0,0,1,1
1704726000,78.87,1812,1,1,1,0,0,0,1,1
1704729600,84.23,2333,1,1,1,0,0,0,1,1
1704733200,89.48,2462,1,1,1,1,0,0,1,1
1704736800,74.15,2156,1,1,1,0,0,0,1,1
1704740400,80.54,2645,1,1,1,0,0,0,1,0
1704744000,79.95,1809,1,1,1,0,0,0,1,1
